Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ba Ria - Vung Tau,Hectares,26.0
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ba Ria - Vung Tau,Hectares,26.1
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ba Ria - Vung Tau,Hectares,25.6
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ba Ria - Vung Tau,Hectares,25.4
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ba Ria - Vung Tau,Hectares,28.3
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ba Ria - Vung Tau,Hectares,28.2
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ba Ria - Vung Tau,Hectares,28.4
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ho Chi Minh city,Hectares,39.3
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ho Chi Minh city,Hectares,39.3
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ho Chi Minh city,Hectares,39.3
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ho Chi Minh city,Hectares,34.4
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ho Chi Minh city,Hectares,34.4
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ho Chi Minh city,Hectares,34.4
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ho Chi Minh city,Hectares,36.6
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ho Chi Minh city,Hectares,36.6
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ho Chi Minh city,Hectares,33.5
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Long An,Hectares,38.2
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Long An,Hectares,33.4
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Long An,Hectares,29.7
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Long An,Hectares,28.0
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Long An,Hectares,25.7
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Long An,Hectares,25.6
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Long An,Hectares,23.0
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Long An,Hectares,22.5
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Long An,Hectares,22.6
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tien Giang,Hectares,7.7
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tien Giang,Hectares,6.3
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tien Giang,Hectares,5.5
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tien Giang,Hectares,3.9
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tien Giang,Hectares,3.9
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tien Giang,Hectares,3.8
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tien Giang,Hectares,3.4
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tien Giang,Hectares,2.6
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tien Giang,Hectares,2.6
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ben Tre,Hectares,3.9
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ben Tre,Hectares,4.0
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ben Tre,Hectares,4.0
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ben Tre,Hectares,3.9
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ben Tre,Hectares,4.1
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ben Tre,Hectares,4.1
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ben Tre,Hectares,4.2
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ben Tre,Hectares,4.2
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ben Tre,Hectares,4.4
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tra Vinh,Hectares,7.5
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tra Vinh,Hectares,7.5
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tra Vinh,Hectares,7.5
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tra Vinh,Hectares,7.8
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tra Vinh,Hectares,8.2
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tra Vinh,Hectares,8.7
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tra Vinh,Hectares,9.0
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tra Vinh,Hectares,9.0
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tra Vinh,Hectares,9.2
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dong Thap,Hectares,7.6
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dong Thap,Hectares,7.1
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dong Thap,Hectares,6.7
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dong Thap,Hectares,44.1
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dong Thap,Hectares,52.4
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dong Thap,Hectares,52.2
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dong Thap,Hectares,6.1
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dong Thap,Hectares,6.1
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dong Thap,Hectares,6.1
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],An Giang,Hectares,13.8
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],An Giang,Hectares,12.5
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],An Giang,Hectares,12.3
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],An Giang,Hectares,12.3
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],An Giang,Hectares,12.2
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],An Giang,Hectares,12.2
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],An Giang,Hectares,12.9
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],An Giang,Hectares,13.7
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],An Giang,Hectares,13.7
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Kien  Giang,Hectares,72.6
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Kien  Giang,Hectares,71.1
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Kien  Giang,Hectares,63.8
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Kien  Giang,Hectares,61.7
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Kien  Giang,Hectares,55.5
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Kien  Giang,Hectares,55.3
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Kien  Giang,Hectares,55.2
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Kien  Giang,Hectares,70.5
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Kien  Giang,Hectares,76.2
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hau Giang,Hectares,2.6
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hau Giang,Hectares,2.9
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hau Giang,Hectares,3.3
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hau Giang,Hectares,2.5
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hau Giang,Hectares,2.5
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hau Giang,Hectares,2.6
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hau Giang,Hectares,2.8
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hau Giang,Hectares,3.1
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hau Giang,Hectares,3.2
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Soc Trang,Hectares,10.6
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Soc Trang,Hectares,10.6
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Soc Trang,Hectares,10.3
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Soc Trang,Hectares,10.3
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Soc Trang,Hectares,9.4
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Soc Trang,Hectares,10.5
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Soc Trang,Hectares,10.7
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Soc Trang,Hectares,11.1
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Soc Trang,Hectares,10.7
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Lieu,Hectares,4.0
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Lieu,Hectares,4.0
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Lieu,Hectares,3.4
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Lieu,Hectares,3.4
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Lieu,Hectares,4.6
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Lieu,Hectares,4.6
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Lieu,Hectares,4.6
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Lieu,Hectares,4.7
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Bac Lieu,Hectares,4.5
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ca Mau,Hectares,100.4
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ca Mau,Hectares,100.7
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ca Mau,Hectares,102.7
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ca Mau,Hectares,104.2
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ca Mau,Hectares,92.3
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ca Mau,Hectares,92.4
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ca Mau,Hectares,94.2
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ca Mau,Hectares,95.5
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ca Mau,Hectares,96.1
