Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,Value
2014,A,0,_X,A,N,EG_ACS_ELEC,40,,PT,97
2016,A,0,_X,A,N,EG_ACS_ELEC,40,,PT,94.5
2018,A,0,_X,A,N,EG_ACS_ELEC,40,,PT,94.5
2010,A,0,_X,A,N,EG_ACS_ELEC,42,,PT,99.9
2012,A,0,_X,A,N,EG_ACS_ELEC,42,,PT,99.9
2014,A,0,_X,A,N,EG_ACS_ELEC,42,,PT,100
2016,A,0,_X,A,N,EG_ACS_ELEC,42,,PT,100
2018,A,0,_X,A,N,EG_ACS_ELEC,42,,PT,99.7
2010,A,0,_X,A,N,EG_ACS_ELEC,44,,PT,99.7
2012,A,0,_X,A,N,EG_ACS_ELEC,44,,PT,99.5
2014,A,0,_X,A,N,EG_ACS_ELEC,44,,PT,100
2016,A,0,_X,A,N,EG_ACS_ELEC,44,,PT,99.9
2018,A,0,_X,A,N,EG_ACS_ELEC,44,,PT,99.9
2010,A,0,_X,A,N,EG_ACS_ELEC,45,,PT,98
2012,A,0,_X,A,N,EG_ACS_ELEC,45,,PT,95.7
2014,A,0,_X,A,N,EG_ACS_ELEC,45,,PT,99.1
2016,A,0,_X,A,N,EG_ACS_ELEC,45,,PT,99.6
2018,A,0,_X,A,N,EG_ACS_ELEC,45,,PT,99.6
2010,A,0,_X,A,N,EG_ACS_ELEC,46,,PT,99.6
2012,A,0,_X,A,N,EG_ACS_ELEC,46,,PT,99.3
2014,A,0,_X,A,N,EG_ACS_ELEC,46,,PT,98.8
2016,A,0,_X,A,N,EG_ACS_ELEC,46,,PT,100
2018,A,0,_X,A,N,EG_ACS_ELEC,46,,PT,99.5
2010,A,0,_X,A,N,EG_ACS_ELEC,48,,PT,100
2012,A,0,_X,A,N,EG_ACS_ELEC,48,,PT,100
2014,A,0,_X,A,N,EG_ACS_ELEC,48,,PT,99.8
2016,A,0,_X,A,N,EG_ACS_ELEC,48,,PT,100
2018,A,0,_X,A,N,EG_ACS_ELEC,48,,PT,100
2010,A,0,_X,A,N,EG_ACS_ELEC,49,,PT,94.3
2012,A,0,_X,A,N,EG_ACS_ELEC,49,,PT,95.6
2014,A,0,_X,A,N,EG_ACS_ELEC,49,,PT,100
2016,A,0,_X,A,N,EG_ACS_ELEC,49,,PT,99.7
2018,A,0,_X,A,N,EG_ACS_ELEC,49,,PT,99.3
2010,A,0,_X,A,N,EG_ACS_ELEC,51,,PT,95.2
2012,A,0,_X,A,N,EG_ACS_ELEC,51,,PT,98.1
2014,A,0,_X,A,N,EG_ACS_ELEC,51,,PT,95.2
2016,A,0,_X,A,N,EG_ACS_ELEC,51,,PT,99.7
2018,A,0,_X,A,N,EG_ACS_ELEC,51,,PT,100
2010,A,0,_X,A,N,EG_ACS_ELEC,52,,PT,99.7
2012,A,0,_X,A,N,EG_ACS_ELEC,52,,PT,99.7
2014,A,0,_X,A,N,EG_ACS_ELEC,52,,PT,99.5
2016,A,0,_X,A,N,EG_ACS_ELEC,52,,PT,99.6
2018,A,0,_X,A,N,EG_ACS_ELEC,52,,PT,100
2010,A,0,_X,A,N,EG_ACS_ELEC,54,,PT,99.8
2012,A,0,_X,A,N,EG_ACS_ELEC,54,,PT,99.3
2014,A,0,_X,A,N,EG_ACS_ELEC,54,,PT,99.8
2016,A,0,_X,A,N,EG_ACS_ELEC,54,,PT,99.1
2018,A,0,_X,A,N,EG_ACS_ELEC,54,,PT,99.7
2010,A,0,_X,A,N,EG_ACS_ELEC,56,,PT,99
2012,A,0,_X,A,N,EG_ACS_ELEC,56,,PT,99.7
2014,A,0,_X,A,N,EG_ACS_ELEC,56,,PT,99.9
2016,A,0,_X,A,N,EG_ACS_ELEC,56,,PT,99.7
2018,A,0,_X,A,N,EG_ACS_ELEC,56,,PT,99.9
2010,A,0,_X,A,N,EG_ACS_ELEC,58,,PT,98.6
2012,A,0,_X,A,N,EG_ACS_ELEC,58,,PT,99
2014,A,0,_X,A,N,EG_ACS_ELEC,58,,PT,98.8
2016,A,0,_X,A,N,EG_ACS_ELEC,58,,PT,99.6
2018,A,0,_X,A,N,EG_ACS_ELEC,58,,PT,99.8
2010,A,0,_X,A,N,EG_ACS_ELEC,60,,PT,97.2
2012,A,0,_X,A,N,EG_ACS_ELEC,60,,PT,97.4
2014,A,0,_X,A,N,EG_ACS_ELEC,60,,PT,96.7
2016,A,0,_X,A,N,EG_ACS_ELEC,60,,PT,97.3
2018,A,0,_X,A,N,EG_ACS_ELEC,60,,PT,99.7
2010,A,0,_X,A,N,EG_ACS_ELEC,62,,PT,96.8
2012,A,0,_X,A,N,EG_ACS_ELEC,62,,PT,99.8
2014,A,0,_X,A,N,EG_ACS_ELEC,62,,PT,98.8
2016,A,0,_X,A,N,EG_ACS_ELEC,62,,PT,98.5
2018,A,0,_X,A,N,EG_ACS_ELEC,62,,PT,99.3
2010,A,0,_X,A,N,EG_ACS_ELEC,64,,PT,99.5
2012,A,0,_X,A,N,EG_ACS_ELEC,64,,PT,99.3
2014,A,0,_X,A,N,EG_ACS_ELEC,64,,PT,99.3
2016,A,0,_X,A,N,EG_ACS_ELEC,64,,PT,98.3
2018,A,0,_X,A,N,EG_ACS_ELEC,64,,PT,99.7
2010,A,0,_X,A,N,EG_ACS_ELEC,66,,PT,94.1
2012,A,0,_X,A,N,EG_ACS_ELEC,66,,PT,95
2014,A,0,_X,A,N,EG_ACS_ELEC,66,,PT,96.5
2016,A,0,_X,A,N,EG_ACS_ELEC,66,,PT,99.3
2018,A,0,_X,A,N,EG_ACS_ELEC,66,,PT,99.7
2010,A,0,_X,A,N,EG_ACS_ELEC,67,,PT,95.1
2012,A,0,_X,A,N,EG_ACS_ELEC,67,,PT,96.5
2014,A,0,_X,A,N,EG_ACS_ELEC,67,,PT,99.3
2016,A,0,_X,A,N,EG_ACS_ELEC,67,,PT,98.2
2018,A,0,_X,A,N,EG_ACS_ELEC,67,,PT,98.9
2010,A,0,_X,A,N,EG_ACS_ELEC,68,,PT,98.6
2012,A,0,_X,A,N,EG_ACS_ELEC,68,,PT,98.5
2014,A,0,_X,A,N,EG_ACS_ELEC,68,,PT,98.9
2016,A,0,_X,A,N,EG_ACS_ELEC,68,,PT,99.3
2018,A,0,_X,A,N,EG_ACS_ELEC,68,,PT,99.6
2010,A,0,_X,A,N,EG_ACS_ELEC,70,,PT,94.6
2012,A,0,_X,A,N,EG_ACS_ELEC,70,,PT,96.3
2014,A,0,_X,A,N,EG_ACS_ELEC,70,,PT,98.4
2016,A,0,_X,A,N,EG_ACS_ELEC,70,,PT,99
2018,A,0,_X,A,N,EG_ACS_ELEC,70,,PT,99.4
2010,A,0,_X,A,N,EG_ACS_ELEC,72,,PT,98.6
2012,A,0,_X,A,N,EG_ACS_ELEC,72,,PT,99.7
2014,A,0,_X,A,N,EG_ACS_ELEC,72,,PT,99.9
2016,A,0,_X,A,N,EG_ACS_ELEC,72,,PT,99.8
